country_id,city,doc_id,name,action,is_top_suggested,final_score,heuristic_score,heuristic_triggers,llm_category,llm_confidence,llm_reason,rating,review_count,types,path,distance_km
1480,Alibaug,ChIJ02Tl6xZ76DsRjaJFfJSZweU,Shri Kaalamba Devi Temple,DEMOTE,False,0,0,hard_rule_reject,rule-based,1.00,Too few reviews (24 < 50),4.8,24,Hindu temple,allplaces/1480/top_attractions/ChIJ02Tl6xZ76DsRjaJFfJSZweU,0.14820835593610576
1480,Alibaug,ChIJ22fFpoV76DsRqu-u-xqUmKI,Kolaba fort,DEMOTE,False,0,0,hard_rule_reject,rule-based,1.00,Too few reviews (1 < 50),5,1,,allplaces/1480/top_attractions/ChIJ22fFpoV76DsRqu-u-xqUmKI,1.6574885187183594
1480,Alibaug,ChIJ4dOf5j566DsRnlrZIgexLcE,Ramnath Rd,DEMOTE,False,0,0,hard_rule_reject,rule-based,1.00,Too few reviews (0 < 50),,,,allplaces/1480/top_attractions/ChIJ4dOf5j566DsRnlrZIgexLcE,0.9464683224785573
1480,Alibaug,ChIJ6eAhJmN76DsRl2o2OGqpzRE,Alibag Water Sports,DEMOTE,False,0,0,hard_rule_reject,rule-based,1.00,Too few reviews (20 < 50),4.9,20,Water sports equipment rental service,allplaces/1480/top_attractions/ChIJ6eAhJmN76DsRl2o2OGqpzRE,0.5868262828594387
1480,Alibaug,ChIJ75esujt66DsRrq9NpU27hFo,Alibaug Beach,KEEP,True,100,90,good_rating|very_high_reviews,significant,0.85,"Popular beach with scenic views of Kolaba Fort, well-known among visitors to Alibaug and easily accessible.",4.2,39939,Beach pavillion,allplaces/1480/top_attractions/ChIJ75esujt66DsRrq9NpU27hFo,0.5639540054879253
1480,Alibaug,ChIJG_TAl1p66DsRF8fYFnYWmc8,Kolaba Fort,KEEP,True,100,90,good_rating|very_high_reviews,iconic,0.95,"Kolaba Fort is a historically significant 300-year-old fortress built by Chhatrapati Shivaji Maharaj, a key cultural figure, and is a must-visit landmark in Alibaug with strong tourist appeal and high",4.2,5629,"Fortress,Sights & Landmarks,Castle",allplaces/1480/top_attractions/ChIJG_TAl1p66DsRF8fYFnYWmc8,1.4031457577496314
1480,Alibaug,ChIJK31n1hR66DsRM3e4o-_MsTc,Hanuman Temple,KEEP,True,75,75,excellent_rating|ok_reviews,local,0.80,Hanuman Temple is a notable religious site within Alibaug but lacks widespread fame or unique cultural significance compared to other attractions in the area.,4.7,59,Hindu temple,allplaces/1480/top_attractions/ChIJK31n1hR66DsRM3e4o-_MsTc,0.8121742449405348
1480,Alibaug,ChIJKQSG1UF66DsRx0wHfr9x4tw,Sarkhel Kanhoji Angre Samadhi - Alibag,KEEP,True,100,90,excellent_rating|high_reviews,significant,0.85,"Important local memorial honoring a key historical figure in Alibag's maritime history, with strong cultural significance and good visitor ratings.",4.5,733,Memorial park,allplaces/1480/top_attractions/ChIJKQSG1UF66DsRx0wHfr9x4tw,0.29077527456524227
1480,Alibaug,ChIJRx-lRWV76DsRhZ3aVBeZRaI,"RAM mandir, Bramhan Ali Alibag",DEMOTE,False,0,0,hard_rule_reject,rule-based,1.00,Too few reviews (29 < 50),4.6,29,Hindu temple,allplaces/1480/top_attractions/ChIJRx-lRWV76DsRhZ3aVBeZRaI,0.444349366260424
1480,Alibaug,ChIJSe4OB1F76DsR-OWoSzZRPGU,Awas Villa,DEMOTE,False,0,0,hard_rule_reject,rule-based,1.00,Too few reviews (0 < 50),,,Villa,allplaces/1480/top_attractions/ChIJSe4OB1F76DsR-OWoSzZRPGU,0.33244556683879356
